# x0,x1
6.750445524402539643e-01,1.984942242070042218e+00
-2.621379963193155582e-01,-1.339555734860193636e+00
-9.082932363840428014e-01,-5.891094612770969574e-01
-3.994835171879657088e-01,1.079134839237973820e+00
-9.545405009286368481e-01,4.823183053594761738e-01
-5.543114265593402923e-01,-5.645372563274008160e-01
3.576550437277379313e-01,-3.094879094123826890e-01
-1.458078618074255539e+00,-4.421617770503885048e-01
-6.179933746055616961e-01,2.318230336587555063e-01
-1.628425806265894282e+00,-9.938294704409523783e-01
-3.290737520075982525e-01,-3.369415287098067147e+00
1.094380191087345189e+00,-2.232046213871865969e+00
-4.863107567568497602e-01,1.542524284728653772e+00
2.399516258586809947e+00,4.088426702754814623e-02
1.219460265003617649e-02,6.369770583072021930e-01
3.375001645066947331e-01,2.531750459569947154e+00
8.385960572289428150e-01,-4.293616682265504192e-01
-1.191434206000468787e+00,-7.906441924264560051e-01
8.360503535087500104e-01,5.221019922416326731e-01
1.502972150540998753e+00,-7.690831370680996371e-02
3.795591638458726269e-01,1.898320976779414249e+00
-5.016449866867095375e-01,-1.013359419256721350e-01
1.967518900357017042e+00,8.233862007057948240e-01
8.097361566085309326e-02,3.296936388056010969e-01
1.054523156570984721e+00,3.279843989640142121e-01
6.560223430246530096e-01,9.116283804589114803e-01
1.625903033840571776e+00,-8.589147710453192142e-01
-1.181747358435250694e+00,4.392875423631392717e-01
2.741190540442802748e-01,-4.053720210139189484e-01
-1.863719686313869417e+00,7.811354654571694978e-01
2.951898503498189830e-01,-1.491684668965443050e+00
-3.441687865041861971e-01,1.035792930568054659e+00
7.819359884556846829e-01,-5.588463432772210471e-01
1.306201185480059923e+00,-1.389368835185095463e+00
5.612857915966861233e-01,1.108715406703300266e+00
-1.333119076285197657e+00,1.636508549914128752e+00
-8.828666982052304490e-01,-5.933242717998558069e-01
-8.572024949921936976e-01,1.206551585882451733e-01
-2.119693798396385664e-01,8.877028614886746105e-01
5.738168043242750649e-01,-1.520147951157648780e+00
-1.438105131578566453e+00,7.040561554131106181e-01
-9.832051287584706034e-02,1.140406077465962564e+00
-1.998987327207736087e+00,-2.394476853365798130e-01
-7.784095909920638601e-01,5.420408833145891059e-01
-1.290067916531022763e-01,8.397590049631247222e-01
-1.110681450739470000e+00,8.550594542834437650e-01
-1.294056641141799191e-01,1.508173582793129963e+00
-1.832404937802066536e-01,3.593604353197374368e-01
4.184846379440629871e-01,-4.585824106938467537e-01
2.889530585012797248e-01,-3.696641086602631132e-01
2.866485382937427606e-01,6.118512342574157492e-02
-2.400692665459386532e+00,8.381611480691030236e-01
4.762139165418876607e-01,-4.104796129072110222e-01
2.037568197699568096e+00,1.050675326909067397e+00
1.420141091767747943e+00,-9.958539083251710666e-01
2.511458677268622597e-01,-4.986534320327417613e-01
-1.429081131702870877e+00,-9.307585578223174227e-01
1.367059668931778216e-01,1.128277214171890863e+00
-1.341500597475863144e+00,-9.656560379856944376e-01
4.672781040743410053e-01,-4.333421194604977211e-01
